     [14:28:23] --- Started Log ---
     [14:28:23] Cuberite Jenkins clang x64 Release (master) build id: #85
     [14:28:23] from commit id: bd2fc7716c4571dfd8840923b17d363dd19146d1 built at: Wed Mar 16 12:44:51 CET 2016
     [14:28:23] Creating new server instance...
     [14:28:23] Reading server config...
     [14:28:23] Starting server...
Info [14:28:23] Compatible clients: 1.7.x, 1.8.x
Info [14:28:23] Compatible protocol versions 4, 5, 47
Warn [14:28:23] WebServer: The server is running in unsecured HTTP mode.
Info [14:28:23] Put a valid HTTPS certificate in file 'webadmin/httpscert.crt' and its corresponding private key to 'webadmin/httpskey.pem' (without any password) to enable HTTPS support
Warn [14:28:23] Cannot open file "crafting.txt", no crafting recipes will be available!
     [14:28:23] Could not open the furnace recipes file "furnace.txt". No furnace recipes are available.
     [14:28:23] Could not open the brewing recipes file "brewing.txt". No brewing recipes are available.
     [14:28:23] -- Loading Plugins --
     [14:28:23] Initialized ChatLog v.3
     [14:28:23] Initialised Core v.15
     [14:28:23] Initialized KubeMonkey v.1
     [14:28:23] Initialized TransAPI v.1
     [14:28:23] -- Loaded 4 Plugins --
Warn [14:28:23] Initialize: Cannot read monsters.ini file, monster attributes not available
Warn [14:28:23] Cannot read data from file Prefabs/Villages/PlainsVillage.cubeset
Warn [14:28:23] Cannot read data from file Prefabs/Villages/SandVillage.cubeset
     [14:28:23] OnWorldStarted
     [14:28:24] OnWorldStarted
Warn [14:28:24] Cannot load PieceStructures cubeset file Prefabs/PieceStructures/NetherFort.cubeset.gz
Warn [14:28:24] The PieceStructures generator was asked to generate "NetherFort", but none of the prefabs are valid.
     [14:28:24] OnWorldStarted
     [14:28:25] Startup complete, took 1883ms!
Info [14:28:26] Player GeneralDragon has joined the game
     [14:28:30] Time in world "world" was set to 13000
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -57147272]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-59245590, 4194320]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-59246211, 0]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, 67043328]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -59246208]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-59245839, -59246218]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-59245846, 0]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -59245879]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-67174400, 0]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -59245886]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-59246222, 0]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [80183201, 0]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-66809856, -134217601]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -57147312]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-59245925, 4194320]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-59245929, 16]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-57147322, 0]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -59245932]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -59245936]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-57147392, -57147362]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -59245939]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [-67108864, 0]
Warn [14:29:25] Chunk generator overloaded, skipping chunk [0, -59245946]
